id,country_iso,date,totalVaccinated
415,AFG,2021-02-22,0
421,AFG,2021-02-28,8200
437,AFG,2021-03-16,54000
459,AFG,2021-04-07,120000
474,AFG,2021-04-22,240000
493,AFG,2021-05-11,504502
502,AFG,2021-05-20,547901
506,AFG,2021-05-24,573277
508,AFG,2021-05-26,590454
509,AFG,2021-05-27,593313
512,AFG,2021-05-30,600152
515,AFG,2021-06-02,626290
516,AFG,2021-06-03,630305
521,AFG,2021-06-08,641295
527,AFG,2021-06-14,662003
535,AFG,2021-06-22,765890
540,AFG,2021-06-27,835694
543,AFG,2021-06-30,886854
548,AFG,2021-07-05,915671
550,AFG,2021-07-07,934463
554,AFG,2021-07-11,962093
557,AFG,2021-07-14,1024168
561,AFG,2021-07-18,1094257
567,AFG,2021-07-24,1171064
594,AFG,2021-08-20,1201286
605,AFG,2021-08-31,1979652
635,AFG,2021-09-30,2369625
680,AFG,2021-11-14,4018197
723,AFG,2021-12-27,4674518
736,AFG,2022-01-09,4903368
738,AFG,2022-01-11,4925111
740,AFG,2022-01-13,4954809
744,AFG,2022-01-17,4985047
746,AFG,2022-01-19,5004050
751,AFG,2022-01-24,5046054
753,AFG,2022-01-26,5074196
754,AFG,2022-01-27,5081064
758,AFG,2022-01-31,5125146
760,AFG,2022-02-02,5152297
765,AFG,2022-02-07,5216998
772,AFG,2022-02-14,5321308
778,AFG,2022-02-20,5412309
785,AFG,2022-02-27,5535254
792,AFG,2022-03-06,5597130
803,AFG,2022-03-17,5731146
808,AFG,2022-03-22,5751015
821,AFG,2022-04-04,5872684
831,AFG,2022-04-14,5940400
835,AFG,2022-04-18,5948889
843,AFG,2022-04-26,5985756
844,AFG,2022-04-27,5986139
852,AFG,2022-05-05,6021468
855,AFG,2022-05-08,6023425
857,AFG,2022-05-10,6029737
862,AFG,2022-05-15,6066579
870,AFG,2022-05-23,6118557
879,AFG,2022-06-01,6171652
893,AFG,2022-06-15,6295222
899,AFG,2022-06-21,6355931
905,AFG,2022-06-27,6408475
908,AFG,2022-06-30,6445359
918,AFG,2022-07-10,6491111
925,AFG,2022-07-17,6706843
927,AFG,2022-07-19,7885045
935,AFG,2022-07-27,8040605
946,AFG,2022-08-07,9822860
954,AFG,2022-08-15,11216694
961,AFG,2022-08-22,11391703
970,AFG,2022-08-31,11562525
974,AFG,2022-09-04,11588893
981,AFG,2022-09-11,11725188
982,AFG,2022-09-12,11734635
989,AFG,2022-09-19,11820186
996,AFG,2022-09-26,11868997
998,AFG,2022-09-28,11881035
1004,AFG,2022-10-04,11923733
1011,AFG,2022-10-11,11951964
1016,AFG,2022-10-16,11977773
1024,AFG,2022-10-24,12055358
1032,AFG,2022-11-01,12103780
1033,AFG,2022-11-02,12140367
1039,AFG,2022-11-08,12174141
1046,AFG,2022-11-15,12202136
1047,AFG,2022-11-16,12216936
1058,AFG,2022-11-27,12275911
1066,AFG,2022-12-05,12304901
1083,AFG,2022-12-22,12449870
1098,AFG,2023-01-06,12526397
1108,AFG,2023-01-16,12603486
1114,AFG,2023-01-22,12672379
1121,AFG,2023-01-29,12684950
1135,AFG,2023-02-12,12768909
1137,AFG,2023-02-14,12788310
1142,AFG,2023-02-19,13603457
1146,AFG,2023-02-23,13910490
1149,AFG,2023-02-26,14743912
1151,AFG,2023-02-28,15093798
1156,AFG,2023-03-05,15966423
1163,AFG,2023-03-12,16248588
1165,AFG,2023-03-14,16250654
1170,AFG,2023-03-19,16474895
1172,AFG,2023-03-21,16482384
1177,AFG,2023-03-26,16498498
1179,AFG,2023-03-28,16499153
1184,AFG,2023-04-02,16586584
1191,AFG,2023-04-09,16625558
1193,AFG,2023-04-11,16693053
1198,AFG,2023-04-16,16727076
1200,AFG,2023-04-18,16826772
1206,AFG,2023-04-24,16844011
1207,AFG,2023-04-25,16847327
1212,AFG,2023-04-30,16902291
1215,AFG,2023-05-03,16918550
1221,AFG,2023-05-09,16960754
1226,AFG,2023-05-14,17060992
1228,AFG,2023-05-16,17116708
1233,AFG,2023-05-21,17479379
1241,AFG,2023-05-29,18434710
1249,AFG,2023-06-06,19712836
1254,AFG,2023-06-11,20000706
1256,AFG,2023-06-13,20013614
1261,AFG,2023-06-18,20241838
1263,AFG,2023-06-20,20324305
1270,AFG,2023-06-27,20393575
1277,AFG,2023-07-04,20463361
1282,AFG,2023-07-09,20472584
1284,AFG,2023-07-11,20536427
1291,AFG,2023-07-18,20556363
1296,AFG,2023-07-23,20575009
1298,AFG,2023-07-25,20662417
1303,AFG,2023-07-30,20729987
1305,AFG,2023-08-01,20790069
1310,AFG,2023-08-06,20837292
1312,AFG,2023-08-08,20876493
1319,AFG,2023-08-15,20939198
1324,AFG,2023-08-20,21022524
1331,AFG,2023-08-27,21120112
1336,AFG,2023-09-01,21258362
1340,AFG,2023-09-05,21271488
1345,AFG,2023-09-10,21380666
1352,AFG,2023-09-17,21466978
1354,AFG,2023-09-19,21565416
1361,AFG,2023-09-26,21716120
1373,AFG,2023-10-08,21763331
1381,AFG,2023-10-16,21893320
1389,AFG,2023-10-24,22085051
1401,AFG,2023-11-05,22102081
1403,AFG,2023-11-07,22207574
1410,AFG,2023-11-14,22495714
1422,AFG,2023-11-26,22606931
1457,AFG,2023-12-31,22964750
2046,ALB,2021-01-10,0
2048,ALB,2021-01-12,128
2049,ALB,2021-01-13,188
2050,ALB,2021-01-14,266
2051,ALB,2021-01-15,308
2052,ALB,2021-01-16,369
2053,ALB,2021-01-17,405
2054,ALB,2021-01-18,447
